Hi.	嗨。
Lost	寻物
Run.	你用跑的。
Wait!	等等！
Danger	危险
Hello!	你好。
I try.	让我来。
Oh no!	不会吧。
He ran.	他跑了。
Hop in.	跳进来。
I lost.	我迷失了。
I quit.	我退出。
I'm OK.	我没事。
Raymond	雷蒙：他说没什麽，他只是把我的脚踝浸在一些中药里，然后贴上一块膏药。
Really?	你确定？
Tell me	告诉我：在任何一项工作中，是师傅说了算，还是助手说了算！"那得看情况。
We try.	我们来试试。
Why me?	为什么是我？
Ask Tom.	去问汤姆。
Be fair.	公平点。
Be kind.	友善点。
Be nice.	和气点。
Call me.	联系我。
Call us.	联系我们。
Come in.	进来。
Get Tom.	找到汤姆。
Get out!	滚出去！
Go away!	走开！
Go away.	走开！
Goodbye!	再见！
Hang on!	等一下！
He asked	他问道："你想日后到英国去住吗？"我说："不会的，我已经断了这个念头了。"
He came.	他来了。
He runs.	他跑。
Help me.	帮我一下。
Hold on.	坚持。
Hug Tom.	抱抱汤姆！
I agree.	我同意。
I repeat	我再说一遍
I'm old.	我老了。
It's OK.	没关系。
It's me.	是我。
Join us.	来加入我们吧。
Keep it.	留着吧。
Kiss me.	吻我。
Perfect!	完美！
See you.	再见！
Skip it.	不管它。
Taxpayer	纳税人：如果双方组建合资企业是否有利呐？
Wake up!	醒醒！
Wash up.	去清洗一下。
Welcome.	欢迎。
Who won?	谁赢了？
You run.	你跑。
Back off.	往后退点。
Be still.	静静的，别动。
Cuff him.	把他铐上。
Dog-berry	道格培里：老爷，弗吉斯先生讲起话来总是有点缠夹不清；他年纪大了，老爷，……可是说句良心话，他是个老实不过的人。
Drive on.	往前开。
Get away!	走开！
Get lost!	滚！
Grab Tom.	抓住汤姆。
Grab him.	抓住他。
Have fun.	玩得开心。
He tries.	他来试试。
Humor me.	你就随了我的意吧。
I forgot.	我忘了。
I'll pay.	我来付钱。
I'm busy.	我很忙。
I'm cold.	我冷。
I'm fine.	我很好。
I'm full.	我吃饱了。
I'm sick.	我病了。
Leave me.	让我一个人呆会儿。
Let's go!	走吧。
Look out!	当心！
She runs.	她跑。
Stand up.	起立。
They won.	他们赢了。
Tom died.	汤姆去世了。
Tom quit.	汤姆不干了。
Tom swam.	汤姆游泳了。
Trust me.	相信我。
Try hard.	努力。
Try some.	试试吧。
Who died?	谁死了？
Call home!	打电话回家！
Catch him.	抓住他。
Come home.	回家吧。
Dogs bark.	狗会叫。
Don't rush	别急急忙忙的, 慢慢来.
Excuse me.	对不起。
Follow me.	请跟我来。
Follow us.	请跟着我们。
Forget it.	算了，别放在心上。
Good luck.	祝你好运。
Grab that.	抓住那个。
Grab this.	抓住这个。
Guess what	你猜怎么着：他们昨天在街上打起来了。
Hands off.	手举起来。
He's a DJ.	他是一个 DJ 。
He's lazy.	他很懒。
Hold fire.	停火。
Hold this.	我住这个。
How awful!	太可怕了。
I am cold.	我冷。
I am okay.	我没事。
I get you.	我了解你。
I hope so.	我希望如此。
I laughed.	我笑了。
I mean it.	我可不是闹着玩的。
I promise.	我向你保证。
I'm a man.	我是个男人。
I'm right.	我是对的。
I'm sorry.	对不起。
I'm young.	我还年轻。
It snowed.	下雪了。
It's 3:30.	3点半了。
It's cold.	天很冷。
It's free.	它是免费的。
It's late.	很晚了。
Let me in.	让我进去。
Lie still.	躺着不动。
Look back!	回头看！
Move over.	腾一下地方。
Mrs. Jerky	哲琪太太：嗯，坦白说，我不很好，小姐。今天早上我的狗被一辆车撞了。
Of course!	当然!
Of course.	当然。
Oh please!	噢拜托了！
Open fire!	开火！
Read this.	念这个。
See above.	参见上文。
She cried.	她哭了。
She tried.	她试过了。
She walks.	她在行走。
Sit tight.	耐心等着。
Slow down.	慢一点。
Stay calm.	保持冷静。
Stay down!	趴着！
Stop that!	住手。
Take care!	照顾好自己。
Take care.	照顾好自己。
Tom swims.	Tom游泳。
Tom waved.	汤姆挥手了。
Turn left.	向左转。
Wait here.	在这等着。
Well done!	做得好！
Wonderful!	很棒！
You Judas!	你这个叛徒！
You idiot!	蠢货！
xiè xie nǐ	我很愿意。谢谢你。
All aboard!	请上船！
Am I wrong?	我错了吗？
Birds sing.	鸟儿歌唱。
Can I help?	我可以帮忙吗?
Definitely!	必须的！
Don't move.	不要动。
Don't scoff	别讥笑, 他没错.
Don't worry	不要着急：这项工程会有好结果的
Fill it up.	把它填满。
Follow him.	跟著他走。
Good night.	晚安。
He is mean.	他很凶。
He is tall.	他高。
Hey, relax.	嘿，放松点。
How lovely!	多可爱啊！
Hurry home.	赶快回家。
I am a man.	我是个男人。
I am short.	我个头矮。
I can cook.	我会做饭。
I can swim.	我会游泳。
I eat here.	我在这里吃。
I envy her.	我嫉妒她。
I envy him.	我羡慕他。
I know him.	我认识他。
I like tea.	我喜欢茶。
I like you.	我喜欢你。
I love her.	我爱她。
I need you.	我需要你。
I think so.	我想是这样的。
I use this.	我使用这个。
I'm a hero.	我是个英雄。
I'm humble.	我是谦虚的。
I'm single.	我单身。
Ignore Tom.	别理汤姆。
Is it love?	那是爱吗？
It's great.	真是太好了。
Just relax.	放松点吧。
Keep quiet!	保持安静！
Let me die.	让我去死。
Let me see.	让我想一想。
Let's walk.	我们走走吧。
My motto is	我的座右铭是
No comment.	禁止评论。
No problem.	没问题。
She smiled.	她笑了。
Stand back!	往后站！
Stay there.	留在这里别动。
Step aside.	让开。
Study hard.	好好学习。
That hurts.	真疼。
Time flies.	时光飞逝。
Tom is shy.	汤姆害羞。
Tom smiled.	汤姆笑了。
Tom yawned.	汤姆打哈欠了。
Turn right.	向右转。
We laughed.	我们笑了。
We lost it.	我们失去了它。
What is it?	这是什么啊？
What's new?	有什么新鲜事吗？
Where am I?	我在哪里？
Wood burns.	木材燃烧。
Are we done?	我们完成了吗？
Are you Tom?	你是汤姆吗？
Are you mad?	你疯了吗?
Be friendly.	友好点。
Break it up!	停手！
Bye for now!	现在再见了!
Can you see?	你能看吗？
Don't shout.	不许大叫。
Don't worry.	别担心。
He is alone.	他独自一人。
He is drunk.	他醉了。
He's strong.	他很强壮。
Here we are!	我们到了！
How curious!	多怪啊！
I am coming.	我来了。
I buy tapes.	我买磁带。
I eat bread.	我吃面包。
I feel cold.	我觉得冷。
I feel fine.	我感觉很好。
I have time.	我有时间。
I heard you.	我听你的。
I like fish.	我喜欢鱼。
I like jazz.	我喜欢爵士乐。
I live here.	我住在这。
I need glue.	我需要胶水。
I overslept.	我睡过头了。
I said that.	我是那样说的。
I smell gas.	我闻到瓦斯味。
I trust him.	我信任他。
I trust you.	我信任你。
I want more.	我想要更多。
I will obey.	我会听从指示。
I will wait.	我会等。
I work here.	我在这里工作。
I'll attend.	我会参加。
I'll get in.	我会进去。
I'm 17, too.	我也是17岁。
I'm Finnish.	我是芬兰人。
I'm a loser.	我是个不成器的人。
I'm at home.	我在家。
I'm curious.	我很好奇。
I'm married.	我已婚。
I'm no good.	我一点儿也不行。
I'm reading.	我在读书。
I'm serious.	我是认真的。
I'm thirsty.	我渴了。
Is it yours?	这是你的吗？
It can't be!	不可能！
It's my job.	这是我份内的事。
Just say no.	只要说不。
Let me know.	让我知道。
Let's begin.	让我们开始吧。
Let's leave.	走吧。
Let's start!	让我们开始吧。
Life is fun.	人生是有趣的。
Lunch is on.	午餐送到了。
Money talks.	金钱万能。
Nice timing.	好时机。
OK. I agree.	好。我同意。
Please come.	请来吧。
Please sing.	请唱歌。
Release him.	放开他。
She hit him.	她打了他。
Stand aside.	一边站着。
Tax official	税务局：这里是涉外分局。
That's life.	人生就是如此。
That's true.	这是真的。
They hugged.	他们拥抱。
They kissed.	他们亲吻了。
This is ice.	这是冰块。
Tom frowned.	汤姆皱著眉头。
Tom got fat.	汤姆变胖了。
Turn around.	转过来。
Was I wrong?	我错了吗？
We are late.	我们迟到了。
We can rest.	我们可以休息。
We know him.	我们认识他。
We love Tom.	我们爱汤姆。
We want Tom.	我们想要汤姆。
What a pity!	多遗憾啊！
What is new?	有什么新鲜事吗？
What's that?	那是什么？
What's this?	那是什么？
Who are you?	你是谁？
Whose is it?	这是谁的？
Work slowly.	干活慢点。
You're sick!	你有病！
A merry pace.	敏捷的步伐
Anything new?	有什么新鲜事吗？
Are you busy?	你忙吗？
Are you lost?	你迷路了吗？
Are you sure?	你确定吗？
Be realistic!	现实点！
Bring him in.	带他进来。
Call Tom now.	现在给汤姆打电话。
Can we do it?	我们能做到吗？
Can you come?	你能来吗？
Can you read?	你能阅读吗？
Can you swim?	你会游泳吗?
Did you call?	你打过电话了吗？
Do you smoke?	你吸烟吗?
Do your best.	尽力而为。
Don't bother.	不用麻烦了。
Don't bug me.	别来烦我。
Don't shuffle	别躲躲闪闪的
Drive slowly.	开车慢点。
Fine, thanks.	很好，谢谢。
Ghosts exist.	鬼魂是存在的。
Give it back.	还回去
Good evening.	晚上好。
Good morning.	早上好！
He likes tea.	他喜欢茶。
He loves her.	他爱她。
He was brave.	他很勇敢。
How dare you!	你敢！
I admire you.	我欣赏你。
I am Italian.	我是义大利人。
I am at home.	我在家。
I am curious.	我很好奇。
I am married.	我结婚了。
I am thirsty.	我渴了。
I feel awful.	我觉得难受极了.
I have a car.	我有一辆车。
I have a dog.	我有一条狗。
I like these.	我喜欢这些。
I love music.	我爱音乐。
I missed you.	我想你。
I see a book.	我看到一本书。
I understand.	我明白了。
I'll sue you.	我要告你。
I'm all ears.	我洗耳恭听。
I'm free now.	我现在有空了。
I'm pregnant.	我怀孕了。
I'm so happy.	我好高兴。
I'm so tired.	我好累。
I'm starving!	我饿死了！
I'm the best.	我是最好的。
Is that love?	那是爱吗？
Is that true?	真的？
It's amazing.	太神奇了。
It's raining.	在下雨。
It's so hard.	太难了。
It's too big.	它太大了。
Keep looking.	继续看！
Keep reading.	继续看。
Keep working.	继续工作！
Let me guess.	让我猜一猜。
Let's go now.	我们现在去吧。
Life goes on.	人生会继续。
Mary came in.	玛丽进来了。
Mary is tall.	玛丽很高。
May I go now?	我现在能去了吗？
My eyes hurt.	我的眼睛痛。
Please hurry.	请抓紧时间。
Please leave.	请你离开。
See you soon!	一会儿见！
See you then.	到时候见。
Shame on you.	你真丢脸！
She is upset.	她心情不好。
She may come.	她也许来。
Someone came.	有人来了。
Stop staring.	别再盯着了。
Stop talking.	不要说话了。
Stop yelling!	别再喊叫了！
Take it easy.	放轻松。
Take me home.	带我回家。
Tell us more.	告诉我们多一点。
That's crazy.	那是疯狂的。
This is true.	这是真的。
Tom followed.	汤姆跟着。
Tom knows me.	Tom认识我。
Tom told him.	汤姆告诉了他。
Tom, wake up.	汤姆，快起来！
Try it again.	再试一次。
Unbelievable!	难以置信！
We are happy.	我们很快乐。
We need more.	我们需要更多。
We succeeded.	我们成功了。
Welcome back.	欢迎回来。
What is love?	爱是什么？
What is that?	那是什么？
What is this?	这是什么啊？
Who was here?	谁来了这里？
Years passed.	多少年过去了。
Also known as.	又名，亦称
Are you angry?	您生气了吗？
Are you crazy?	你疯了吗？
Are you happy?	你快乐吗？
Are you ready?	你们准备好了吗？
Are you tired?	你累了吗?
Call security!	叫保安来！
Can you skate?	你会滑冰吗?
Check, please.	请结帐。
Don't give up!	不要放弃!
Flowers bloom.	鲜花盛开。
God bless you!	愿上帝保佑你！
He can't swim.	他不会游泳。
He is a thief.	这是一个小偷。
He is at home.	他在家里。
He is my type!	他是我的菜!
He is no fool.	他不是傻子。
He isn't home.	他不在家。
He lied to us.	他欺骗了我们。
He sells cars.	他卖车子。
He shot at me.	他枪击了我。
He tries hard.	他努力地尝试。
He wants more.	他想要更多。
He's not home.	他不在家。
How about you?	您呢？
How beautiful!	多美啊！
How do I look?	我看上去怎么样？
I am divorced.	我离婚了。
I am the best.	我是最好的。
I am very sad.	我很难过。
I believe you.	我信过你。
I can see Tom.	我看得见汤姆。
I despise you.	我鄙视你。
I did my best.	我做得好到不能再好了。
I did see him.	我确实看见他了。
I didn't pass.	我没通过。
I got it free.	我是免费得到的。
I have a home.	我有一个家。
I have an egg.	我有一只蛋。
I like sweets.	我喜欢甜食。
I like to eat.	我喜欢吃。
I love movies.	我爱电影。
I love nature.	我爱大自然。
I love sports.	我喜欢运动。
I miss Boston.	我想念波士顿。
I need to try.	我需要尝试。
I think I can.	我想我可以。
I use Twitter.	我用Twitter。
I want to cry.	我想哭。
I was at home.	我刚才在家。
I was so cold.	我很冷。
I'll buy this.	我要买这个。
I'll call you.	我会打电话给你。
I'll eat here.	我会在这里吃饭。
I'll take him.	我会去接他的。
I'm a teacher.	我是个老师。
I'm exhausted!	我已筋疲力尽了!
I'm exhausted.	我累死了。
I'm on a diet.	我在节食。
I'm on my way.	我这就上路。
I'm so stupid.	我真蠢。
I'm very busy.	我很忙。
I've got wine.	我有酒。
Is it serious?	严重吗？
It is no joke.	这可不是开玩笑的事。
It is raining.	在下雨。
It looks good.	看起来不错。
It might rain.	可能会下雨。
It takes time.	这需要时间。
It's a secret.	它是个秘密。
It's business.	公事公办。
It's freezing.	天气好冷。
It's improved.	它有改善了。
It's not mine.	不是我的。
It's too loud.	它太大声。
It's very big.	它很大。
Keep Tom safe.	确保汤姆安全。
Keep it quiet.	保持安静
Let me see it.	让我看看。
Lock the gate.	锁大门。
Love is blind.	爱情是盲目的。
May I come in?	我可以进来吗?
Move up a bit.	稍微向上挪一下.
My foot hurts.	我的脚痛。
My pen is new.	我的钢笔是新的。
Never give up.	决不放弃。
Pace yourself.	量力而行。
Quit gambling.	戒掉赌博吧。
Read this now.	现在读这个。
See you again.	再见！
See you later.	再见。
Shall we walk?	我们该步行吗？
She loves Tom.	她爱汤姆。
She's dieting.	她在节食中。
She's my type.	她是我的菜。
Shut the door.	关门。
Sit beside me.	坐我旁边。
Speak clearly.	讲清楚。
Stir the soup.	搅一下汤。
Stop meddling.	别再插手。
Stop shooting.	停止射击。
Straighten up.	改邪归正。
Stuff happens.	事情难免会发生。
Suits me fine.	这对我太合适了。
They're armed.	他们有带武器。
This is a wig.	这是假发。
Time is money.	时间就是金钱。
Today was fun.	今天很有趣。
Tom didn't go.	汤姆没走。
Tom is a hick.	汤姆是个乡巴佬。
Tom is absent.	汤姆缺席。
Tom is boring.	汤姆是个无聊的人。
Tom is so hot.	汤姆非常性感。
Tom loves you.	汤姆爱你。
Tom overslept.	汤姆睡过头了。
Tom was fired.	汤姆被解雇了。
Wait a moment.	请稍等。
We kept quiet.	我们保持了沉默。
We need money.	我们需要钱。
We understand.	我们明白。
We've arrived.	我们已经到了。
Where are you?	你在哪儿?
Where is Mary?	玛丽在哪里？
Who helps her?	谁帮帮她？
Whose is this?	这是谁的？
Will is power.	【谚】意志就是力量。
You are lying.	你在撒谎。
You are sharp.	你很聪明。
You look pale.	你看起来很苍白。
You should go.	你最好去。
You work hard.	你工作努力。
You're joking!	你在开玩笑吧！
how do i look?	我看上去怎么样？
A Celtic idiom.	凯尔特人的惯用语
A bird can fly.	鸟会飞。
A dab of jelly.	少量的果冻
Abuse of power.	职权的弊端
Allow me to go.	请允许我去。
Are you crying?	你在哭吗？
Aren't you Tom?	你不是汤姆吗？
Aren't you hot?	你不热吗？
Be nice to her.	对她好点。
Birds lay eggs.	鸟下蛋。
Boil the water.	把水烧开。
Bring it to me.	把它带给我。
Can I eat this?	我可以吃这个吗?
Can I sit here?	我能坐这里吗？
Clean the room.	打扫房间。
Close the door.	关门。
Coffee, please.	我要咖啡，谢谢。
Deal with them.	解决他们。
Do we know you?	我们认识你么？
Do you know me?	你还认识我吗？
Do you like it?	你喜欢吗？
Do you miss me?	你想我吗？
Do you promise?	你保证吗？
Don't touch it.	别碰它。
Get out of bed!	起床!
Good afternoon.	下午好。
Have some more.	你该多吃点。
He accelerated.	他提速了。
He cannot swim.	他不会游泳。
He confused us.	他把我们弄糊涂了。
He doesn't lie.	他不说谎。
He lives alone.	他独自生活。
He lost a book.	他弄丢了一本书。
He sang a song.	他唱了一首歌。
He throws well.	他投掷很好.
He was drowned.	他溺水而亡。
He's a big boy.	他是个大男孩。
He's an author.	他是作家。
Here is a book.	这里有一本书。
How kind he is!	他多么和气！
How much is it?	多少钱?
How's it going?	你们好吗？
I am Hungarian.	我是匈牙利人。
I am a teacher.	我是个老师。
I am exhausted.	我累死了。
I am off today.	我今天休息。
I am too short.	我太矮了。
I broke my arm.	我的手臂断了。
I don't get it.	我不懂。
I got arrested.	我被逮捕了。
I got up early.	我起床早。
I had a vision.	我有一个设想。
I hate Mondays.	我讨厌星期一。
